filename,status,session,left_class,right_class,reason
Photo on 2026-08-11 at 13.40 #2.jpg,in-set,primary-13xx,thumbout,openhand,original
Photo on 2026-08-11 at 13.40 #3.jpg,in-set,primary-13xx,thumbout,thumbout,original
Photo on 2026-08-11 at 13.40 #4.jpg,in-set,primary-13xx,openhand,closedhand,original
Photo on 2026-08-11 at 13.42.jpg,in-set,primary-13xx,openhand,openhand,original
Photo on 2026-08-11 at 13.42 #2.jpg,in-set,primary-13xx,thumbout,thumbout,original
Photo on 2026-08-11 at 13.42 #3.jpg,in-set,primary-13xx,closedhand,closedhand,original
Photo on 2026-08-11 at 13.43.jpg,in-set,primary-13xx,closedhand,openhand,original
Photo on 2026-08-11 at 13.43 #2.jpg,in-set,primary-13xx,thumbout,thumbout,original
Photo on 2026-08-11 at 13.43 #3.jpg,in-set,primary-13xx,openhand,thumbout,original
Photo on 2026-08-11 at 13.45.jpg,in-set,primary-13xx,thumbout,openhand,original
Photo on 2026-08-11 at 13.45 #2.jpg,in-set,primary-13xx,thumbout,thumbout,original
Photo on 2026-08-11 at 13.45 #3.jpg,in-set,primary-13xx,openhand,closedhand,original
Photo on 2026-08-11 at 13.46.jpg,in-set,primary-13xx,thumbout,openhand,original
Photo on 2026-08-11 at 13.46 #2.jpg,in-set,primary-13xx,thumbout,closedhand,original
Photo on 2026-08-11 at 13.47.jpg,in-set,primary-13xx,openhand,thumbout,original
Photo on 2026-08-11 at 13.47 #2.jpg,in-set,primary-13xx,thumbout,openhand,original
Photo on 2026-08-11 at 13.47 #3.jpg,in-set,primary-13xx,closedhand,thumbout,original
Photo on 2026-08-11 at 13.47 #4.jpg,in-set,primary-13xx,openhand,closedhand,original
Photo on 2026-08-11 at 16.45.jpg,in-set,retake-1649,thumbout,closedhand,replacement for class balance
Photo on 2026-08-11 at 16.46.jpg,in-set,retake-1649,openhand,closedhand,replacement for class balance
Photo on 2026-08-11 at 16.46 #2.jpg,in-set,retake-1649,thumbout,closedhand,replacement for class balance
Photo on 2026-08-11 at 16.49.jpg,in-set,retake-1649,thumbout,closedhand,replacement for class balance
Photo on 2026-08-11 at 16.49 #2.jpg,in-set,retake-1649,openhand,closedhand,replacement for class balance
Photo on 2026-08-11 at 16.49 #3.jpg,in-set,retake-1649,closedhand,openhand,replacement for class balance
Photo on 2026-08-11 at 13.19 #2.jpg,retired,primary-13xx,thumbout,thumbout,surplus thumbout; retired to reach 40/40/40
Photo on 2026-08-11 at 13.25 #2.jpg,retired,primary-13xx,thumbout,thumbout,surplus thumbout; retired to reach 40/40/40
Photo on 2026-08-11 at 13.27.jpg,retired,primary-13xx,thumbout,thumbout,surplus thumbout; retired to reach 40/40/40
Photo on 2026-08-11 at 13.25.jpg,retired,primary-13xx,thumbout,openhand,surplus thumbout; retired to reach 40/40/40
Photo on 2026-08-11 at 13.29 #2.jpg,retired,primary-13xx,thumbout,openhand,surplus thumbout; retired to reach 40/40/40
Photo on 2026-08-11 at 13.32 #3.jpg,retired,primary-13xx,thumbout,openhand,surplus thumbout; retired to reach 40/40/40
