stem,idx,side,cls,value,area,area_frac,aspect,align,shift,shift_px,n_hands,seq,note
Photo on 2026-08-11 at 13.26,1,right,closedhand,255,84782,0.02539,1.213,0.988,"+0,-2",2,2,2 2,
Photo on 2026-08-11 at 13.27 #2,0,left,openhand,100,174697,0.05232,0.83,1.0,"+0,+0",0,2,1 1,
Photo on 2026-08-11 at 13.27 #2,1,right,openhand,100,240445,0.07201,0.768,0.991,"+0,-2",2,2,1 1,
Photo on 2026-08-11 at 13.28 #2,0,left,closedhand,255,104139,0.03119,0.902,0.995,"+0,+3",3,2,2 1,
Photo on 2026-08-11 at 13.28 #2,1,right,openhand,100,184248,0.05518,0.99,1.0,"+0,+0",0,2,2 1,
Photo on 2026-08-11 at 13.28 #3,0,left,thumbout,200,59338,0.01777,2.11,0.983,"-2,+3",3,2,0 2,
Photo on 2026-08-11 at 13.28 #3,1,right,closedhand,255,87340,0.02616,1.026,0.94,"-2,+0",2,2,0 2,
Photo on 2026-08-11 at 13.29 #2,0,left,thumbout,200,66632,0.01996,1.797,1.0,"+0,+0",0,2,0 1,
Photo on 2026-08-11 at 13.29 #2,1,right,openhand,100,183539,0.05497,0.796,1.0,"+0,+0",0,2,0 1,
Photo on 2026-08-11 at 13.29 #3,0,left,closedhand,255,81257,0.02434,1.025,1.0,"+0,+0",0,2,2 0,
Photo on 2026-08-11 at 13.29 #3,1,right,thumbout,200,112639,0.03373,1.453,0.962,"-2,+0",2,2,2 0,
Photo on 2026-08-11 at 13.29,0,left,openhand,100,193451,0.05794,0.828,0.985,"-2,+0",2,2,1 0,
Photo on 2026-08-11 at 13.29,1,right,thumbout,200,106875,0.03201,1.544,0.946,"-2,+0",2,2,1 0,
Photo on 2026-08-11 at 13.30,0,left,openhand,100,244027,0.07308,0.803,1.0,"+0,+0",0,2,1 2,
Photo on 2026-08-11 at 13.30,1,right,closedhand,255,107389,0.03216,0.888,1.0,"+0,+0",0,2,1 2,
Photo on 2026-08-11 at 13.31,0,left,closedhand,255,86348,0.02586,1.065,1.0,"+0,+0",0,2,2 1,
Photo on 2026-08-11 at 13.31,1,right,openhand,100,153265,0.0459,0.789,1.0,"+0,+0",0,2,2 1,
Photo on 2026-08-11 at 13.32 #2,0,left,openhand,100,153661,0.04602,0.828,1.0,"+0,+0",0,2,1 0,
Photo on 2026-08-11 at 13.32 #2,1,right,thumbout,200,145722,0.04364,1.5,1.0,"+0,+0",0,2,1 0,
Photo on 2026-08-11 at 13.32 #3,0,left,thumbout,200,110335,0.03304,1.378,1.0,"+0,+0",0,2,0 1,
Photo on 2026-08-11 at 13.32 #3,1,right,openhand,100,223018,0.06679,0.886,1.0,"+0,+0",0,2,0 1,
Photo on 2026-08-11 at 13.32 #4,0,left,closedhand,255,66933,0.02005,1.081,1.0,"+0,+0",0,2,2 0,
Photo on 2026-08-11 at 13.32 #4,1,right,thumbout,200,93506,0.028,1.525,1.0,"+0,+0",0,2,2 0,
Photo on 2026-08-11 at 13.32 #5,0,left,openhand,100,211658,0.06339,0.868,1.0,"+0,+0",0,2,1 2,
Photo on 2026-08-11 at 13.32 #5,1,right,closedhand,255,94294,0.02824,0.861,1.0,"+0,+0",0,2,1 2,
Photo on 2026-08-11 at 13.32,0,left,thumbout,200,71768,0.02149,2.301,0.969,"-2,-7",7,2,0 2,
Photo on 2026-08-11 at 13.32,1,right,closedhand,255,104340,0.03125,1.077,1.0,"+0,+0",0,2,0 2,
Photo on 2026-08-11 at 13.36 #2,0,left,openhand,100,193298,0.05789,0.856,1.0,"+0,+0",0,2,1 1,
Photo on 2026-08-11 at 13.36 #2,1,right,openhand,100,239518,0.07173,0.89,1.0,"+0,+0",0,2,1 1,
Photo on 2026-08-11 at 13.36 #3,0,left,closedhand,255,61686,0.01847,0.947,1.0,"+0,+0",0,2,2 2,
Photo on 2026-08-11 at 13.36 #3,1,right,closedhand,255,106489,0.03189,0.971,1.0,"+0,+0",0,2,2 2,
Photo on 2026-08-11 at 13.36,0,left,thumbout,200,74444,0.02229,2.073,0.988,"+3,+0",3,2,0 0,
Photo on 2026-08-11 at 13.36,1,right,thumbout,200,95740,0.02867,2.122,0.956,"-2,+0",2,2,0 0,
Photo on 2026-08-11 at 13.37 #3,0,left,thumbout,200,31435,0.00941,2.227,0.925,"+0,-2",2,2,0 2,
Photo on 2026-08-11 at 13.37 #3,1,right,closedhand,255,40805,0.01222,1.039,0.964,"-2,+0",2,2,0 2,
Photo on 2026-08-11 at 13.38 #2,0,left,thumbout,200,35108,0.01051,1.427,1.0,"+0,+0",0,2,0 1,
Photo on 2026-08-11 at 13.38 #2,1,right,openhand,100,93471,0.02799,0.744,1.0,"+0,+0",0,2,0 1,
Photo on 2026-08-11 at 13.38 #3,0,left,closedhand,255,41605,0.01246,1.102,1.0,"+0,+0",0,2,2 0,
Photo on 2026-08-11 at 13.38 #3,1,right,thumbout,200,51501,0.01542,1.287,0.975,"-2,+0",2,2,2 0,
Photo on 2026-08-11 at 13.38 #4,0,left,openhand,100,79472,0.0238,0.91,1.0,"+0,+0",0,2,1 2,
Photo on 2026-08-11 at 13.38 #4,1,right,closedhand,255,35603,0.01066,1.077,0.941,"-2,+0",2,2,1 2,
Photo on 2026-08-11 at 13.38,0,left,openhand,100,87165,0.0261,0.937,1.0,"+0,+0",0,2,1 0,
Photo on 2026-08-11 at 13.38,1,right,thumbout,200,47011,0.01408,1.479,1.0,"+0,+0",0,2,1 0,
Photo on 2026-08-11 at 13.39 #2,0,left,closedhand,255,74748,0.02239,1.224,1.0,"+0,+0",0,2,2 1,
Photo on 2026-08-11 at 13.39 #2,1,right,openhand,100,172513,0.05166,0.837,1.0,"+0,+0",0,2,2 1,
Photo on 2026-08-11 at 13.39 #3,0,left,thumbout,200,76569,0.02293,2.024,1.0,"+0,+0",0,2,0 2,
Photo on 2026-08-11 at 13.39 #3,1,right,closedhand,255,97413,0.02917,1.275,1.0,"+0,+0",0,2,0 2,
Photo on 2026-08-11 at 13.39,0,left,closedhand,255,75403,0.02258,1.289,1.0,"+0,+0",0,2,2 1,
Photo on 2026-08-11 at 13.39,1,right,openhand,100,173202,0.05187,0.833,0.986,"+0,+3",3,2,2 1,
Photo on 2026-08-11 at 13.40 #2,0,left,thumbout,200,49224,0.01474,2.132,1.0,"+0,+0",0,2,0 1,
Photo on 2026-08-11 at 13.40 #2,1,right,openhand,100,176232,0.05278,0.795,1.0,"+0,+0",0,2,0 1,
Photo on 2026-08-11 at 13.40 #3,0,left,closedhand,255,67966,0.02035,1.356,1.0,"+0,+0",0,2,2 0,
Photo on 2026-08-11 at 13.40 #3,1,right,thumbout,200,107271,0.03213,1.614,1.0,"+0,+0",0,2,2 0,
Photo on 2026-08-11 at 13.40 #4,0,left,openhand,100,170712,0.05113,0.851,1.0,"+0,+0",0,2,1 2,
Photo on 2026-08-11 at 13.40 #4,1,right,closedhand,255,92496,0.0277,1.098,1.0,"+0,+0",0,2,1 2,
Photo on 2026-08-11 at 13.40,0,left,openhand,100,131856,0.03949,0.814,1.0,"+0,+0",0,2,1 0,
Photo on 2026-08-11 at 13.40,1,right,thumbout,200,92239,0.02762,1.545,1.0,"+0,+0",0,2,1 0,
Photo on 2026-08-11 at 13.42 #3,0,left,closedhand,255,65417,0.01959,1.003,1.0,"+0,+0",0,2,2 2,
Photo on 2026-08-11 at 13.42 #3,1,right,closedhand,255,94267,0.02823,1.051,1.0,"+0,+0",0,2,2 2,
Photo on 2026-08-11 at 13.42,0,left,openhand,100,91684,0.02746,0.819,1.0,"+0,+0",0,2,1 1,
Photo on 2026-08-11 at 13.42,1,right,openhand,100,95177,0.0285,0.862,1.0,"+0,+0",0,2,1 1,
Photo on 2026-08-11 at 13.43 #2,0,left,thumbout,200,38794,0.01162,2.064,1.0,"+0,+0",0,2,0 2,
Photo on 2026-08-11 at 13.43 #2,1,right,closedhand,255,44089,0.0132,1.274,0.867,"-2,+0",2,2,0 2,
Photo on 2026-08-11 at 13.43 #3,0,left,openhand,100,77054,0.02308,0.945,1.0,"+0,+0",0,2,1 0,
Photo on 2026-08-11 at 13.43 #3,1,right,thumbout,200,51328,0.01537,1.498,1.0,"+0,+0",0,2,1 0,
Photo on 2026-08-11 at 13.43,0,left,closedhand,255,38254,0.01146,1.533,0.817,"+3,+0",3,2,2 1,
Photo on 2026-08-11 at 13.43,1,right,openhand,100,91900,0.02752,0.932,0.933,"-7,+3",7,2,2 1,
Photo on 2026-08-11 at 13.45 #2,0,left,thumbout,200,44936,0.01346,1.662,1.0,"+0,+0",0,2,0 0,
Photo on 2026-08-11 at 13.45 #2,1,right,thumbout,200,70031,0.02097,1.695,0.882,"+0,+3",3,2,0 0,
Photo on 2026-08-11 at 13.45 #3,0,left,openhand,100,97559,0.02922,0.914,1.0,"+0,+0",0,2,1 2,
Photo on 2026-08-11 at 13.45 #3,1,right,closedhand,255,48232,0.01444,1.242,0.899,"-2,+0",2,2,1 2,
Photo on 2026-08-11 at 13.45,0,left,thumbout,200,40407,0.0121,1.777,1.0,"+0,+0",0,2,0 1,
Photo on 2026-08-11 at 13.45,1,right,openhand,100,99845,0.0299,0.848,1.0,"+0,+0",0,2,0 1,
Photo on 2026-08-11 at 13.46 #2,0,left,thumbout,200,69584,0.02084,1.576,0.978,"+0,-2",2,2,0 2,
Photo on 2026-08-11 at 13.46 #2,1,right,closedhand,255,81169,0.02431,1.046,1.0,"+0,+0",0,2,0 2,
Photo on 2026-08-11 at 13.46,0,left,thumbout,200,50965,0.01526,1.312,1.0,"+0,+0",0,2,0 1,
Photo on 2026-08-11 at 13.46,1,right,openhand,100,143238,0.0429,0.77,1.0,"+0,+0",0,2,0 1,
Photo on 2026-08-11 at 13.47 #2,0,left,thumbout,200,70585,0.02114,1.59,1.0,"+0,+0",0,2,0 1,
Photo on 2026-08-11 at 13.47 #2,1,right,openhand,100,151794,0.04546,0.808,1.0,"+0,+0",0,2,0 1,
Photo on 2026-08-11 at 13.47 #3,0,left,closedhand,255,55663,0.01667,1.031,0.962,"+3,-2",3,2,2 0,
Photo on 2026-08-11 at 13.47 #3,1,right,thumbout,200,68677,0.02057,1.284,1.0,"+0,+0",0,2,2 0,
Photo on 2026-08-11 at 13.47 #4,0,left,openhand,100,187522,0.05616,0.767,1.0,"+0,+0",0,2,1 2,
Photo on 2026-08-11 at 13.47 #4,1,right,closedhand,255,84297,0.02525,0.905,1.0,"+0,+0",0,2,1 2,
Photo on 2026-08-11 at 13.47,0,left,openhand,100,126358,0.03784,0.779,1.0,"+0,+0",0,2,1 0,
Photo on 2026-08-11 at 13.47,1,right,thumbout,200,86262,0.02583,1.43,0.986,"-2,+0",2,2,1 0,
Photo on 2026-08-11 at 18.27,0,left,closedhand,255,137976,0.04132,1.054,1.0,"+0,+0",0,2,2 2,
Photo on 2026-08-11 at 18.27,1,right,closedhand,255,138339,0.04143,1.035,1.0,"+0,+0",0,2,2 2,
Photo on 2026-08-11 at 18.39,0,left,closedhand,255,122460,0.03667,1.38,0.661,"+8,+0",8,2,2 2,misaligned~8px
Photo on 2026-08-11 at 18.39,1,right,closedhand,255,112812,0.03379,1.308,0.683,"+8,-2",8,2,2 2,misaligned~8px
Photo on 2026-08-11 at 18.41,0,left,closedhand,255,69670,0.02086,1.271,1.0,"+0,+0",0,2,2 1,
Photo on 2026-08-11 at 18.41,1,right,openhand,100,167266,0.05009,0.974,1.0,"+0,+0",0,2,2 1,
Photo on 2026-08-11 at 18.43,0,left,thumbout,200,41317,0.01237,1.592,1.0,"+0,+0",0,2,0 0,
Photo on 2026-08-11 at 18.43,1,right,thumbout,200,42717,0.01279,1.819,0.993,"+3,+0",3,2,0 0,
